https://code4fukui.github.io/rdf/#imperial_era_name,https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_times
平成,11,震度6弱,0
平成,11,震度6強,0
平成,11,震度7,0
平成,11,震度不明,0
平成,12,震度1,22
平成,12,震度2,6
平成,12,震度3,4
平成,12,震度4,1
平成,12,震度5弱,0
平成,12,震度5強,0
平成,12,震度6弱,0
平成,12,震度6強,0
平成,12,震度7,0
平成,12,震度不明,0
平成,13,震度1,20
平成,13,震度2,6
平成,13,震度3,3
平成,13,震度4,1
平成,13,震度5弱,0
平成,13,震度5強,0
平成,13,震度6弱,0
平成,13,震度6強,0
平成,13,震度7,0
平成,13,震度不明,0
平成,14,震度1,13
平成,14,震度2,6
平成,14,震度3,1
平成,14,震度4,1
平成,14,震度5弱,0
平成,14,震度5強,0
平成,14,震度6弱,0
平成,14,震度6強,0
平成,14,震度7,0
平成,14,震度不明,0
平成,15,震度1,14
平成,15,震度2,7
平成,15,震度3,3
平成,15,震度4,0
平成,15,震度5弱,0
平成,15,震度5強,0
平成,15,震度6弱,0
平成,15,震度6強,0
平成,15,震度7,0
平成,15,震度不明,0
平成,16,震度1,9
平成,16,震度2,6
平成,16,震度3,2
平成,16,震度4,2
平成,16,震度5弱,0
平成,16,震度5強,0
平成,16,震度6弱,0
平成,16,震度6強,0
平成,16,震度7,0
平成,16,震度不明,0
平成,17,震度1,10
平成,17,震度2,5
平成,17,震度3,1
平成,17,震度4,0
平成,17,震度5弱,0
平成,17,震度5強,0
平成,17,震度6弱,0
平成,17,震度6強,0
平成,17,震度7,0
平成,17,震度不明,0
平成,18,震度1,17
平成,18,震度2,5
平成,18,震度3,3
平成,18,震度4,0
平成,18,震度5弱,0
平成,18,震度5強,0
平成,18,震度6弱,0
平成,18,震度6強,0
平成,18,震度7,0
平成,18,震度不明,0
平成,19,震度1,32
平成,19,震度2,10
平成,19,震度3,5
平成,19,震度4,2
平成,19,震度5弱,0
平成,19,震度5強,0
平成,19,震度6弱,0
平成,19,震度6強,0
平成,19,震度7,0
平成,19,震度不明,0
平成,20,震度1,14
平成,20,震度2,3
平成,20,震度3,2
平成,20,震度4,0
平成,20,震度5弱,0
平成,20,震度5強,0
平成,20,震度6弱,0
平成,20,震度6強,0
平成,20,震度7,0
平成,20,震度不明,0
平成,21,震度1,11
平成,21,震度2,4
平成,21,震度3,5
平成,21,震度4,0
平成,21,震度5弱,0
平成,21,震度5強,0
平成,21,震度6弱,0
平成,21,震度6強,0
平成,21,震度7,0
平成,21,震度不明,0
平成,22,震度1,10
平成,22,震度2,2
平成,22,震度3,1
平成,22,震度4,0
平成,22,震度5弱,0
平成,22,震度5強,0
平成,22,震度6弱,0
平成,22,震度6強,0
平成,22,震度7,0
平成,22,震度不明,0
平成,23,震度1,40
平成,23,震度2,10
平成,23,震度3,4
平成,23,震度4,1
平成,23,震度5弱,0
平成,23,震度5強,0
平成,23,震度6弱,0
平成,23,震度6強,0
平成,23,震度7,0
平成,23,震度不明,0
平成,24,震度1,9
平成,24,震度2,2
平成,24,震度3,0
平成,24,震度4,0
平成,24,震度5弱,0
平成,24,震度5強,0
平成,24,震度6弱,0
平成,24,震度6強,0
平成,24,震度7,0
平成,24,震度不明,0
平成,25,震度1,12
平成,25,震度2,3
平成,25,震度3,2
平成,25,震度4,0
平成,25,震度5弱,0
平成,25,震度5強,0
平成,25,震度6弱,0
平成,25,震度6強,0
平成,25,震度7,0
平成,25,震度不明,0
平成,26,震度1,27
平成,26,震度2,7
平成,26,震度3,2
平成,26,震度4,0
平成,26,震度5弱,0
平成,26,震度5強,0
平成,26,震度6弱,0
平成,26,震度6強,0
平成,26,震度7,0
平成,26,震度不明,0
平成,27,震度1,9
平成,27,震度2,7
平成,27,震度3,2
平成,27,震度4,0
平成,27,震度5弱,0
平成,27,震度5強,0
平成,27,震度6弱,0
平成,27,震度6強,0
平成,27,震度7,0
平成,27,震度不明,0
平成,28,震度1,5
平成,28,震度2,4
平成,28,震度3,1
平成,28,震度4,0
平成,28,震度5弱,0
平成,28,震度5強,0
平成,28,震度6弱,0
平成,28,震度6強,0
平成,28,震度7,0
平成,28,震度不明,0
